Relationship,Sentence_Id,Sentence
,30,"Marius Pontmercy is a young man who lives with his (Valjean) wealthy grandfather, M"
,37,"It is love at first sight, but the protective Valjean does his (Valjean) utmost to prevent Cosette and Marius from ever meeting"
,38,"Their paths cross once again, however, when Valjean makes a charitable visit to Marius's poor neighbors, the Jondrettes"
,51,"When Marius returns to Cosette, she (Cosette) and Valjean have disappeared"
,62,"As the army storms the barricade, Valjean grabs the wounded Marius and flees through the sewers"
,64,Valjean pleads with Javert to let him (Valjean) take the dying Marius to Marius's grandfather
,66,"Javert feels tormented, torn between his (Marius) duty to his (Marius) profession and the debt he (Marius) owes Valjean for saving his (Valjean) life"
,69,"Their wedding is a happy one, marred only when Valjean confesses his (Valjean) criminal past to Marius"
,70,"Alarmed by this revelation and unaware that it was Valjean who saved his (Valjean) life at the barricades, Marius tries to prevent Cosette from having contact with Valjean"
,72,Marius eventually finds out from Thénardier that Valjean saved Marius's life
,73,"Ashamed that he (Valjean) mistrusted Valjean, Marius tells Cosette everything that has happened"
,74,Marius and Cosette rush to Valjean's side just in time for a final reconciliation
,75,"Happy to be reunited with his (Marius) adopted daughter, Valjean dies in peace"
