Relationship,Sentence_Id,Sentence
P,8,"  (Winnie)', 'She (Winnie) pokes Willie with the parasol to wake him (Willie)"
P,9,"She (Winnie) drops it, but Willie, still hidden, hands it back"
N,11,"She (Winnie) drinks from it and tosses it in Willie's direction, where it shatters"
N,12,"Willie sits up, and Winnie turns to see blood trickling from his (Willie) bald head"
N,13,"Winnie tells him (Willie) to put on his (Willie) underwear, which he (Willie) does not do"
P,14,"She (Winnie) proclaims it will be ', ""``another happy day''  (She)', 'as he (Willie) reads a newspaper"
P,17,"Winnie sees that Willie has a postcard, and asks to look at it"
P,18,She (Winnie) is appalled by the picture and returns it to him (Willie)
P,19,"Winnie regrets not letting Willie sleep, and wishes she (Winnie) could tolerate being alone"
N,20,"She (Winnie) says that if Willie died or left her (Winnie), she (Winnie) would never say another word"
N,23,"  (She)', 'She (Winnie) stumbles when she (Winnie) wonders if hair is referred to as ', ""``them''  (she)', 'or ', ""``it,''  (she)', 'and asks Willie, who answers ', ""``It"
P,24,"  (Willie)', 'Winnie is overjoyed that Willie is speaking, and pronounces it a ', ""``happy day"
P,25,"  (Willie)', 'She (Winnie) tells Willie to crawl back into his (Willie) hole to avoid the sun, which he (Willie) does"
P,26,"Winnie thanks him (Willie) for reassuring her (Winnie) that he (Willie) can hear her (Winnie), as otherwise she (Winnie) would have only the bag"
N,27,"She (Winnie) asks Willie if he (Willie) will leave her (Winnie) soon, but he (Willie) does not answer"
P,32,"She (Winnie) joins him (Willie), but they alternate who is laughing"
P,33,"She (Winnie) says there is no better way to ', ""``magnify the Almighty''  (She)', 'then by laughing at his (Almighty) little jokes, then wonders if she (Winnie) and Willie were laughing at different things"
N,34,"Winnie asks Willie if she (Winnie) were ever ', ""``lovable,''  (she)', 'but he (Willie) does not respond"
P,38,She (Winnie) inspects the revolver again and asks Willie if he (Willie) remembers how he (Willie) used to ask her (Winnie) to keep it away from him (Willie) before he (Willie) killed himself
N,39,"Winnie says that she (Winnie) is tired of Willie, and she (Winnie)'ll leave the revolver out from now on"
P,40,"She (Winnie) discusses her (Winnie) feeling that without being held down she (Winnie) would be sucked upward, and asks Willie if he (Willie) feels that way"
P,41,"He (Willie) does not understand, even after she (Winnie) explains it"
N,49,"Winnie saddens and takes out a music-box from her (Winnie) bag, and plays the waltz duet from Franz Lehár's 1905 operetta, The Merry Widow, which Willie accompanies without words at the end"
P,51,"Winnie feels she (Winnie) is being watched by someone, and as she (Winnie) files her (Winnie) long nails, she (Winnie) thinks about a man named Shower--or possibly Cooker--with his (man) fiancée and tells Willie her (fiancée) image of them: they hold hands, carrying bags in their free hands, and stare at Winnie while they question Winnie's placement in the ground, fight, argue about Willie's and Winnie's usefulness to each other, contemplate digging Winnie out, then leave"
N,52,Winnie sees that Willie is trying to crawl out of his (Willie) whole
N,53,"She (Winnie) observes that he (Willie) is no longer a good crawler, and urges him (Willie) on as he (Willie) progresses to his (Willie) spot behind the mound"
P,54,"She (Winnie) tells him (Willie) she (Winnie) dreams he (Willie) would come to the other side so she (Winnie) could see him (Willie), but knows he (Willie) cannot"
P,56,"Willie tells her (Winnie), and she (Winnie) becomes happy"
P,61,"Pausing continuously, she (Winnie) tries to talk to Willie, who doesn't respond, and surmises that Willie has died, or left her (Winnie) ', ""``like the others"
P,62,"  (Willie)', 'She (Winnie) saddens over her (Winnie) current condition, and grows anxious over the absence of her (Winnie) arms, breasts, and Willie"
P,63,"The bell rings, and Winnie asks Willie questions and, getting no response, says it's like him (Willie) to not have an opinion"
P,65,"Winnie reprimands Willie for not paying attention, then fearfully questions if he (Willie) may be stuck in the hole"
P,67,"She (Winnie) imagines Shower/Cooker with his (Willie) woman, both older, as they discuss Winnie's buried body"
P,71,Winnie sees Willie crawling toward her (Winnie) in a fashionable outfit
P,72,She (Winnie) says it reminds her (Winnie) of the day he (Willie) proposed to her (Winnie)
P,73,He (Willie) drops his (Willie) hat and gloves and crawls toward her (Winnie) at Winnie's delighted urgings
P,77,"She (Winnie) smiles at Willie, who looks at her (Winnie), and she (Winnie) stops smiling"
