Relationship,Sentence_Id,Sentence
P,6,"Dana wades in after him (Rufus), but he (Rufus) is unconscious by the time she (Dana) reaches him (Rufus)"
P,7,She (Dana) drags him (Rufus) to the shore and resuscitates him (Rufus)
P,8,"Tom Weylin, Rufus's father, arrives and points a gun at Dana, terrifying her (Dana)"
P,14,"Dana puts out the fire, talks to Rufus, and escapes from the house before Weylin finds out she (Dana) is there"
P,25,"Rufus will not let Dana leave, so everyone returns to the house together"
P,26,Kevin and Dana stay on the plantation for several weeks and help educate Rufus
N,29,"After eight days at home, Dana time travels back and finds that Kevin has left the Maryland area and that Rufus has raped Alice Greenwood"
N,31,"Dana convinces Isaac not to kill Rufus, and Alice and Isaac run away while Dana gets Rufus home"
N,36,He (Rufus) forces Dana to convince Alice to sleep with him (Rufus) after her (Dana) body has recovered
N,37,"After Rufus fails to mail her (Dana) letters to Kevin, Dana attempts to run away"
N,41,"After a few days, Dana time travels by herself back to Maryland and finds Rufus very drunk and lying facedown in a puddle"
P,43,"Over the course of many days, Dana nurses Rufus back to health"
N,45,"Weylin has a heart attack, and Dana is unable to save him (Rufus)"
N,46,Rufus blames her (Dana) for his (Rufus) father's death and forces her (Dana) to work in the fields until she (Dana) collapses
P,47,Rufus is much harsher with Alice than he (Rufus) is with Dana
N,48,Alice is jealous of the kindness with which Rufus treats Dana
N,49,"Alice gives birth to her (Alice) second child with Rufus, Hagar, who is Dana's direct ancestor"
N,51,"She (Dana) fears that she (Dana) is getting too used to Rufus, that she (Dana) doesn't hate him (Rufus) enough anymore"
N,55,"He (Rufus) also sells Sam, a field hand, as punishment for flirting with Dana"
N,56,"When Dana tries to interfere, Rufus hits her (Dana)"
N,59,She (Dana) and Kevin quarrel a little about Rufus
N,65,He (Rufus) keeps Dana at his (Rufus) side almost constantly
N,66,"One day, he (Rufus) tells her (Dana) that she (Dana) is so like Alice he (Rufus) cannot stand it"
N,67,"He (Rufus) catches her (Alice) by the wrists, and Dana struggles free"
N,68,"She (Dana) goes to the attic, planning to slit her (Dana) wrists in order to get home, but Rufus follows her (Dana) and attempts to rape her (Dana)"
N,69,"Dana stabs him (Rufus) twice with her (Dana) knife, killing him (Rufus)"
N,71,Her (Dana) arm is severed and crushed in the spot where Rufus was holding it
