Relationship,Sentence_Id,Sentence
P,30,"Marius Pontmercy is a young man who lives with his (Valjean) wealthy grandfather, M"
N,37,"It is love at first sight, but the protective Valjean does his (Valjean) utmost to prevent Cosette and Marius from ever meeting"
N,38,"Their paths cross once again, however, when Valjean makes a charitable visit to Marius's poor neighbors, the Jondrettes"
N,51,"When Marius returns to Cosette, she (Cosette) and Valjean have disappeared"
P,62,"As the army storms the barricade, Valjean grabs the wounded Marius and flees through the sewers"
P,64,Valjean pleads with Javert to let him (Valjean) take the dying Marius to Marius's grandfather
P,66,"Javert feels tormented, torn between his (Marius) duty to his (Marius) profession and the debt he (Marius) owes Valjean for saving his (Valjean) life"
P,69,"Their wedding is a happy one, marred only when Valjean confesses his (Valjean) criminal past to Marius"
N,70,"Alarmed by this revelation and unaware that it was Valjean who saved his (Valjean) life at the barricades, Marius tries to prevent Cosette from having contact with Valjean"
P,72,Marius eventually finds out from Thénardier that Valjean saved Marius's life
P,73,"Ashamed that he (Valjean) mistrusted Valjean, Marius tells Cosette everything that has happened"
P,74,Marius and Cosette rush to Valjean's side just in time for a final reconciliation
P,75,"Happy to be reunited with his (Marius) adopted daughter, Valjean dies in peace"
