Relationship,Sentence_Id,Sentence
P,15,"She (Dana) runs to the home of Alice Greenwood and her (Greenwood) mother, free blacks who Dana suspects may be her (Dana) ancestors"
P,18,"After the men leave, Dana comes out of hiding and helps Alice's mother"
P,29,"After eight days at home, Dana time travels back and finds that Kevin has left the Maryland area and that Rufus has raped Alice Greenwood"
P,31,"Dana convinces Isaac not to kill Rufus, and Alice and Isaac run away while Dana gets Rufus home"
P,36,He (Rufus) forces Dana to convince Alice to sleep with him (Rufus) after her (Dana) body has recovered
N,47,Rufus is much harsher with Alice than he (Rufus) is with Dana
N,48,Alice is jealous of the kindness with which Rufus treats Dana
N,49,"Alice gives birth to her (Alice) second child with Rufus, Hagar, who is Dana's direct ancestor"
N,61,"When Dana returns to the plantation, she (Dana) finds that Alice has attempted to run away"
N,66,"One day, he (Rufus) tells her (Dana) that she (Dana) is so like Alice he (Rufus) cannot stand it"
N,67,"He (Rufus) catches her (Alice) by the wrists, and Dana struggles free"
