Relationship,Sentence_Id,Sentence
P,10,"But her (Margaret) pragmatic husband, Henry, a prominent businessman, and her (Margaret) greedy son Charles, a struggling businessman, refuse to act on the matter and never mention it to Margaret"
P,11,"One night, Margaret and Helen run into Henry, and they discuss the case of Leonard Bast; Henry warns them that Leonard's insurance company is doomed to failure, and they advise him (Henry) to find a new job"
P,13,"Margaret and Henry develop a halting, gradual friendship"
P,15,"Henry offers to rent them a house he (Henry) owns in London, and when he (Henry) shows it to Margaret, he (Henry) suddenly proposes to her (Margaret)"
P,17,"Shortly before Margaret and Henry are scheduled to be married, Henry's daughter Evie marries a man named Percy Cahill; the wedding is held at a Wilcox estate near Wales"
P,21,"Margaret asks Henry to give Leonard a job, but when he (Henry) sees Jacky Bast, he (Henry) realizes that he (Henry) had an affair with her (Margaret) 10 years ago, when she (Margaret) was a prostitute in Cyprus"
P,22,Margaret forgives him (Henry) for the indiscretion--it was before they even met--but she (Margaret) writes to Helen that there will be no job for Leonard
P,26,"Margaret and Henry are married, and plan to build a new home in Sussex"
P,27,"After some time passes, however, Margaret begins to worry about her (Margaret) sister, and with Henry's help, she (Margaret) arranges a scheme to surprise her (Margaret) at Howards End, where Helen is going to collect some books"
P,30,"Helen asks to spend the night with Margaret at Howards End, but Henry refuses to let a ', ""``fallen woman''  (Henry)', 'sleep in his (Henry) home"
N,31,"When Margaret points out that Henry himself has committed a worse sexual indiscretion than Helen, Henry is outraged, and Margaret resolves to leave him (Henry), returning to Germany with Helen"
N,36,"Henry is shattered, and comes to Margaret for help"
P,37,"Henry, Margaret, and Helen move into Howards End, where Helen and Henry learn to be friends and where Helen's son is born"
