Relationship,Sentence_Id,Sentence
P,31,"One day Taylor meets two of Mattie's friends, Estevan and Esperanza, a married couple from Guatemala"
P,39,"The government wanted the names of union members from Estevan and Esperanza and took their daughter, Ismene, as a way of forcing them to tell"
P,46,"On the night of the first summer rain, Mattie takes Esperanza, Estevan, and Taylor into the desert to see the natural world come to life"
P,52,Turtle's trauma and the difficulties of Estevan and Esperanza make Taylor depressed
P,56,Mattie becomes worried about Estevan and Esperanza's safety
P,58,Taylor decides she (Esperanza) will transport Estevan and Esperanza to another sanctuary for illegal immigrants in Oklahoma
P,62,"Taylor, Esperanza, and Estevan decide to go to the Lake o' the Cherokees"
P,63,"During that time, Taylor concocts a plan to convince the authorities in Oklahoma that Estevan and Esperanza are Turtle's biological parents"
P,65,"Armistead, the legal authority in Oklahoma, Esperanza and Estevan pretend to be Turtle's biological parents"
P,67,"Taylor and Turtle drop off Esperanza and Estevan at their new home, a church in Oklahoma"
